repo,py_files,py_loc,total_functions,total_classes,test_files,test_functions,test_fn_ratio
MONAI,1274,186832,7502,2246,854,2436,0.3247
PySnooper,28,4962,443,75,21,54,0.1219
Red-DiscordBot,219,64628,2967,353,25,210,0.0708
addict,4,626,97,8,1,64,0.6598
alive-progress,46,3602,345,11,15,56,0.1623
apispec,24,5711,404,139,11,261,0.646
arrow,21,15613,852,208,10,659,0.7735
astroid,260,49607,3122,406,162,1466,0.4696
autograd,105,9349,1616,52,28,592,0.3663
bleach,55,15734,923,107,7,131,0.1419
boltons,65,17177,1361,119,30,293,0.2153
cantools,83,26157,1185,99,16,331,0.2793
channels,38,3421,283,74,17,67,0.2367
chardet,53,39883,172,44,0,4,0.0233
charset_normalizer,32,5458,192,17,13,48,0.25
click,61,14014,1317,118,30,355,0.2696
cloudpickle,15,3556,385,72,11,152,0.3948
conan,1041,127802,6979,839,692,3347,0.4796
cookiecutter,91,7486,462,39,69,274,0.5931
daphne,25,3124,204,31,9,64,0.3137
dask,355,137312,8876,677,176,3925,0.4422
dataset,11,1713,157,13,3,59,0.3758
deepdiff,41,15763,1040,172,23,592,0.5692
django,2751,374149,28235,10051,1889,15276,0.541
django-money,65,3840,356,148,28,195,0.5478
dominate,18,2535,143,170,9,65,0.4545
drf-nested-routers,27,1406,71,94,15,23,0.3239
dvc,554,67688,4359,433,297,1878,0.4308
environs,11,1678,178,31,2,103,0.5787
exceptiongroup,15,2458,173,27,10,84,0.4855
faker,751,338252,3376,1127,57,1614,0.4781
feedparser,54,6051,374,32,18,50,0.1337
flake8,77,7618,523,51,38,240,0.4589
flashtext,19,1411,93,16,15,39,0.4194
freezegun,23,2193,275,31,17,123,0.4473
furl,9,3482,232,28,2,77,0.3319
fvcore,57,9225,547,107,28,160,0.2925
gTTS,25,1812,112,13,8,56,0.5
glom,31,7130,540,94,18,180,0.3333
gpxpy,12,6065,382,31,0,147,0.3848
grafanalib,37,8455,307,144,20,85,0.2769
graphene,139,9979,884,593,74,443,0.5011
gspread,18,8034,427,39,7,149,0.3489
gunicorn,199,10214,714,194,133,120,0.1681
h11,31,4153,223,47,11,72,0.3229
hydra,439,34494,1595,422,216,505,0.3166
icecream,13,1844,183,10,4,39,0.2131
inflect,18,5158,157,14,14,79,0.5032
iniconfig,5,495,57,4,2,24,0.4211
isodate,16,1864,83,5,6,28,0.3373
jinja,60,17953,1556,237,26,696,0.4473
jsonschema,36,8870,660,66,11,343,0.5197
langdetect,18,1540,73,12,7,23,0.3151
line_profiler,28,4690,184,19,10,33,0.1793
markupsafe,11,678,100,16,6,25,0.25
marshmallow,37,12570,1122,602,17,662,0.59
mido,74,4829,478,72,17,113,0.2364
mistune,48,4361,359,37,9,24,0.0669
modin,402,106758,5510,408,113,1424,0.2584
mypy,395,118744,8399,800,78,581,0.0692
nikola,227,26278,1219,177,57,160,0.1313
oauthlib,150,16205,1019,201,74,450,0.4416
pandas,1502,489599,29350,2218,1124,18356,0.6254
paramiko,87,24930,1617,223,27,387,0.2393
parsimonious,13,2067,216,52,6,86,0.3981
parso,78,12366,920,164,53,284,0.3087
patsy,36,10776,583,65,6,147,0.2521
pdfplumber,38,6930,442,46,17,176,0.3982
pipdeptree,35,3119,192,11,18,90,0.4688
prettytable,5,4968,356,46,2,151,0.4242
ptyprocess,11,1001,62,10,6,14,0.2258
pyasn1,69,15186,1867,471,35,1055,0.5651
pydantic,264,83161,5680,4255,153,2427,0.4273
pydicom,169,173644,3699,355,60,2375,0.6421
pyfiglet,8,1002,76,12,2,4,0.0526
pygments,391,114376,1349,800,44,279,0.2068
pyopenssl,17,11646,822,76,8,410,0.4988
pyparsing,131,34471,1389,259,10,366,0.2635
pypika,61,11766,1703,356,43,970,0.5696
pyquery,16,3089,248,31,8,74,0.2984
python-colorlog,17,815,59,5,7,32,0.5424
python-docx,199,27482,3249,482,84,3,0.0009
python-dotenv,18,1559,129,11,9,60,0.4651
python-json-logger,5,520,37,4,2,20,0.5405
python-markdownify,11,1076,117,4,9,75,0.641
python-pinyin,65,103302,257,35,18,100,0.3891
python-pptx,222,48274,5134,820,83,3,0.0006
python-qrcode,34,2989,252,42,10,67,0.2659
python-readability,13,1058,55,3,2,11,0.2
python-slugify,7,866,95,4,0,82,0.8632
python-string-similarity,35,967,76,37,15,18,0.2368
radon,30,4928,235,15,16,72,0.3064
result,6,1060,159,4,3,47,0.2956
safety,78,14321,596,114,21,119,0.1997
schedule,4,2005,161,9,1,81,0.5031
schema,3,2469,181,22,1,102,0.5635
scrapy,355,55561,4772,1262,179,1915,0.4013
soupsieve,99,9369,578,110,91,384,0.6644
sqlfluff,379,109119,1837,1896,128,468,0.2548
sqlglot,201,101228,4158,1250,58,1059,0.2547
sqlparse,35,5534,507,49,11,281,0.5542
stackprinter,26,2036,128,16,6,7,0.0547
starlette,68,13437,1427,176,33,437,0.3062
sunpy,454,55260,3709,322,167,1683,0.4538
tenacity,21,3394,434,98,7,134,0.3088
termcolor,5,494,16,0,1,10,0.625
textdistance,53,3139,255,57,35,67,0.2627
textfsm,11,3929,268,40,5,96,0.3582
thefuzz,9,992,84,5,3,52,0.619
tinydb,21,2742,326,24,9,153,0.4693
tldextract,17,1954,116,7,9,53,0.4569
tomli,12,1107,69,9,5,17,0.2464
tornado,108,34310,3172,733,49,1008,0.3178
trio,190,33752,2703,289,60,621,0.2297
tweepy,55,14195,664,86,9,79,0.119
typeguard,31,7447,698,135,17,337,0.4828
usaddress,10,1318,32,6,4,13,0.4062
voluptuous,9,3685,345,80,2,142,0.4116
webargs,48,5652,730,152,24,239,0.3274
word_cloud,22,2136,101,9,3,46,0.4554
yamllint,68,11793,429,55,35,322,0.7506
